Processing question_tags.csv...
Processed 18100000 rows, current total: 7851
Processed 18200000 rows, current total: 7907
Processed 18300000 rows, current total: 7979
Processed 18400000 rows, current total: 8038
Processed 18500000 rows, current total: 8106
Processed 18600000 rows, current total: 8169
Processed 18700000 rows, current total: 8229
Processed 18800000 rows, current total: 8305
Processed 18900000 rows, current total: 8382
Processed 19000000 rows, current total: 8441
Processed 19100000 rows, current total: 8493
Processed 19200000 rows, current total: 8562
Processed 19300000 rows, current total: 8632
Processed 19400000 rows, current total: 8709
Processed 19500000 rows, current total: 8782
Processed 19600000 rows, current total: 8851
Processed 19700000 rows, current total: 8916
Processed 19800000 rows, current total: 8984
Processed 19900000 rows, current total: 9039
Processed 20000000 rows, current total: 9091
Processed 20100000 rows, current total: 9169
Processed 20200000 rows, current total: 9210
Processed 20300000 rows, current total: 9274
Processed 20400000 rows, current total: 9332
Processed 20500000 rows, current total: 9373
Processed 20600000 rows, current total: 9448
Processed 20700000 rows, current total: 9508
Processed 20800000 rows, current total: 9573
Processed 20900000 rows, current total: 9620
Processed 21000000 rows, current total: 9679
Processed 21100000 rows, current total: 9732
Processed 21200000 rows, current total: 9795
Processed 21300000 rows, current total: 9842
Processed 21400000 rows, current total: 9888
Processed 21500000 rows, current total: 9945
Processed 21600000 rows, current total: 9981
Processed 21700000 rows, current total: 10044
Processed 21800000 rows, current total: 10108
Processed 21900000 rows, current total: 10160
Processed 22000000 rows, current total: 10231
Processed 22100000 rows, current total: 10305
Processed 22200000 rows, current total: 10364
Processed 22300000 rows, current total: 10428
Processed 22400000 rows, current total: 10491
Processed 22500000 rows, current total: 10553
Processed 22600000 rows, current total: 10620
Processed 22700000 rows, current total: 10671
Processed 22800000 rows, current total: 10745
Processed 22900000 rows, current total: 10803
Processed 23000000 rows, current total: 10864
Processed 23100000 rows, current total: 10936
Processed 23200000 rows, current total: 11000
Processed 23300000 rows, current total: 11069
Processed 23400000 rows, current total: 11112
Processed 23500000 rows, current total: 11180
Processed 23600000 rows, current total: 11247
Processed 23700000 rows, current total: 11316
Processed 23800000 rows, current total: 11382
Processed 23900000 rows, current total: 11456
Processed 24000000 rows, current total: 11521
Processed 24100000 rows, current total: 11605
Processed 24200000 rows, current total: 11667
Processed 24300000 rows, current total: 11713
Processed 24400000 rows, current total: 11778
Processed 24500000 rows, current total: 11829
Processed 24600000 rows, current total: 11888
Processed 24700000 rows, current total: 11956
Processed 24800000 rows, current total: 12010
Processed 24900000 rows, current total: 12057
Processed 25000000 rows, current total: 12127
Processed 25100000 rows, current total: 12199
Processed 25200000 rows, current total: 12268
Processed 25300000 rows, current total: 12337
Processed 25400000 rows, current total: 12405
Processed 25500000 rows, current total: 12466
Processed 25600000 rows, current total: 12535
Processed 25700000 rows, current total: 12613
Processed 25800000 rows, current total: 12666
Processed 25900000 rows, current total: 12727
Processed 26000000 rows, current total: 12809
Processed 26100000 rows, current total: 12873
Processed 26200000 rows, current total: 12937
Processed 26300000 rows, current total: 13005
Processed 26400000 rows, current total: 13067
Processed 26500000 rows, current total: 13101
Processed 26600000 rows, current total: 13158
Processed 26700000 rows, current total: 13235
Processed 26800000 rows, current total: 13296
Processed 26900000 rows, current total: 13356
Processed 27000000 rows, current total: 13436
Processed 27100000 rows, current total: 13510
Processed 27200000 rows, current total: 13597
Processed 27300000 rows, current total: 13681
Processed 27400000 rows, current total: 13758
Processed 27500000 rows, current total: 13832
Processed 27600000 rows, current total: 13904
Processed 27700000 rows, current total: 13977
Processed 27800000 rows, current total: 14048
Processed 27900000 rows, current total: 14130
Processed 28000000 rows, current total: 14193
Processed 28100000 rows, current total: 14268
Processed 28200000 rows, current total: 14337
Processed 28300000 rows, current total: 14415
Processed 28400000 rows, current total: 14481
Processed 28500000 rows, current total: 14543
Processed 28600000 rows, current total: 14618
Processed 28700000 rows, current total: 14684
Processed 28800000 rows, current total: 14749
Processed 28900000 rows, current total: 14833
Processed 29000000 rows, current total: 14899
Processed 29100000 rows, current total: 14974
Processed 29200000 rows, current total: 15043
Processed 29300000 rows, current total: 15095
Processed 29400000 rows, current total: 15162
Processed 29500000 rows, current total: 15230
Processed 29600000 rows, current total: 15294
